Time,x,y,z,yaw,v_x,v_y,v_z,r_x,r_y,r_z,a_x,a_y,a_z
10.50,3.215476,0.242352,0.000000,0.012858,0.342605,0.059181,0.000000,0.000000,0.000000,0.083236,-1.422062,6.297256,0.000000
10.60,3.252104,0.249250,0.000000,0.021782,0.439482,0.075916,0.000000,0.000000,0.000000,0.106773,-1.506405,6.379599,0.000000
10.70,3.298068,0.258358,0.000000,0.032999,0.524388,0.090582,0.000000,0.000000,0.000000,0.127401,-1.683324,6.458758,0.000000
10.80,3.351895,0.269681,0.000000,0.046168,0.589002,0.101743,0.000000,0.000000,0.000000,0.143099,-1.927227,6.506349,0.000000
10.90,3.411336,0.283027,0.000000,0.060753,0.626992,0.108306,0.000000,0.000000,0.000000,0.152329,-2.208334,6.503607,0.000000
11.00,3.473586,0.297973,0.000000,0.076080,0.634637,0.109626,0.000000,0.000000,0.000000,0.154186,-2.510856,6.482506,0.000000
11.10,3.535583,0.313867,0.000000,0.091402,0.611187,0.105576,0.000000,0.000000,0.000000,0.148489,-2.822848,6.491722,0.000000
11.20,3.594308,0.329873,0.000000,0.105975,0.558939,0.096550,0.000000,0.000000,0.000000,0.135795,-3.106322,6.510742,0.000000
11.30,3.647088,0.345068,0.000000,0.119124,0.483002,0.083433,0.000000,0.000000,0.000000,0.117346,-3.314758,6.487883,0.000000
11.40,3.691848,0.358570,0.000000,0.130317,0.390805,0.067507,0.000000,0.000000,0.000000,0.094947,-3.426241,6.420170,0.000000
11.50,3.727301,0.369676,0.000000,0.139211,0.291360,0.050329,0.000000,0.000000,0.000000,0.070787,-3.438866,6.336540,0.000000
11.60,3.753057,0.377979,0.000000,0.145689,0.194391,0.033579,0.000000,0.000000,0.000000,0.047228,-3.356971,6.259121,0.000000
11.70,3.769648,0.383436,0.000000,0.149871,0.109377,0.018894,0.000000,0.000000,0.000000,0.026573,-3.188888,6.196516,0.000000
11.80,3.778477,0.386376,0.000000,0.152099,0.044628,0.007709,0.000000,0.000000,0.000000,0.010842,-2.949058,6.150531,0.000000
11.90,3.781679,0.387449,0.000000,0.152907,0.006477,0.001119,0.000000,0.000000,0.000000,0.001574,-2.658762,6.121226,0.000000
