time,x,y,z,yaw,v_x,v_y,v_z
21.290000,-1.348784,6.768217,0.000000,-2.500917,4.963797,0.667236,0.000000
21.300000,-1.384590,6.733197,0.000000,-2.527065,4.886444,0.624561,0.000000
21.310000,-1.420913,6.699920,0.000000,-2.555796,4.840047,0.675578,0.000000
21.320000,-1.457509,6.667532,0.000000,-2.580158,4.766902,0.619489,0.000000
21.330000,-1.494562,6.636909,0.000000,-2.607872,4.717111,0.642855,0.000000
21.340000,-1.531902,6.607377,0.000000,-2.632405,4.647795,0.586624,0.000000
21.350000,-1.569625,6.579598,0.000000,-2.659570,4.607308,0.616493,0.000000
21.360000,-1.607590,6.552777,0.000000,-2.682394,4.539806,0.548446,0.000000
21.370000,-1.645855,6.527739,0.000000,-2.708432,4.498417,0.560184,0.000000
21.380000,-1.684333,6.503773,0.000000,-2.730711,4.434742,0.490457,0.000000
21.390000,-1.723030,6.481564,0.000000,-2.755756,4.398326,0.499305,0.000000
21.400000,-1.761901,6.460385,0.000000,-2.776554,4.336945,0.421966,0.000000
21.410000,-1.800906,6.440961,0.000000,-2.800256,4.300698,0.416140,0.000000
21.420000,-1.840039,6.422644,0.000000,-2.820050,4.242645,0.335473,0.000000
21.430000,-1.879231,6.406053,0.000000,-2.842426,4.210194,0.324150,0.000000
21.440000,-1.918508,6.390547,0.000000,-2.860574,4.154455,0.236577,0.000000
21.450000,-1.957766,6.376752,0.000000,-2.881336,4.122534,0.211728,0.000000
21.460000,-1.997059,6.364098,0.000000,-2.898112,4.069903,0.119978,0.000000
21.470000,-2.036268,6.353121,0.000000,-2.917209,4.040944,0.087731,0.000000
21.480000,-2.075469,6.343275,0.000000,-2.932117,3.990672,-0.010676,0.000000
21.490000,-2.114526,6.335081,0.000000,-2.949287,3.962290,-0.056406,0.000000
21.500000,-2.153526,6.328062,0.000000,-2.962482,3.915364,-0.159582,0.000000
21.510000,-2.192338,6.322657,0.000000,-2.977591,3.888957,-0.216543,0.000000
21.520000,-2.231059,6.318443,0.000000,-2.988739,3.845120,-0.326922,0.000000
21.530000,-2.269560,6.315820,0.000000,-3.001484,3.818434,-0.400956,0.000000
21.540000,-2.307930,6.314458,0.000000,-3.010677,3.776045,-0.512224,0.000000
21.550000,-2.346036,6.314607,0.000000,-3.021608,3.762571,-0.566826,0.000000
21.560000,-2.384069,6.315731,0.000000,-3.026819,3.710339,-0.564065,0.000000
21.570000,-2.421575,6.317085,0.000000,-3.042905,3.728069,-0.550691,0.000000
21.580000,-2.459216,6.318892,0.000000,-3.048333,3.676627,-0.546160,0.000000
21.590000,-2.496332,6.320906,0.000000,-3.064636,3.695242,-0.533515,0.000000
21.600000,-2.533585,6.323384,0.000000,-3.070276,3.644735,-0.534800,0.000000
21.610000,-2.570321,6.326122,0.000000,-3.086409,3.664142,-0.524098,0.000000
21.620000,-2.607195,6.329334,0.000000,-3.091874,3.614882,-0.523645,0.000000
21.630000,-2.643560,6.332767,0.000000,-3.107937,3.635000,-0.514430,0.000000
21.640000,-2.680062,6.336685,0.000000,-3.113328,3.586879,-0.515470,0.000000
21.650000,-2.716062,6.340824,0.000000,-3.129231,3.607649,-0.507948,0.000000
21.660000,-2.752199,6.345458,0.000000,-3.134459,3.560565,-0.506197,0.000000
21.670000,-2.787840,6.350265,0.000000,-3.150353,3.581929,-0.499781,0.000000
21.680000,-2.823614,6.355577,0.000000,-3.155571,3.535814,-0.500896,0.000000
21.690000,-2.858899,6.361079,0.000000,-3.171285,3.557733,-0.496077,0.000000
21.700000,-2.894313,6.367094,0.000000,-3.176322,3.512507,-0.492484,0.000000
21.710000,-2.929246,6.373236,0.000000,-3.192111,3.534930,-0.488367,0.000000
21.720000,-2.964303,6.379898,0.000000,-3.197223,3.490548,-0.490254,0.000000
21.730000,-2.998882,6.386734,0.000000,-3.212767,3.513453,-0.487818,0.000000
21.740000,-3.033581,6.394098,0.000000,-3.217633,3.469869,-0.482267,0.000000
21.750000,-3.067813,6.401543,0.000000,-3.233342,3.493207,-0.480139,0.000000
21.760000,-3.102158,6.409525,0.000000,-3.238374,3.450343,-0.482185,0.000000
21.770000,-3.136034,6.417658,0.000000,-3.253802,3.474105,-0.481744,0.000000
21.780000,-3.170017,6.426335,0.000000,-3.258555,3.431949,-0.474705,0.000000
21.790000,-3.203548,6.435055,0.000000,-3.274206,3.456087,-0.474299,0.000000
21.800000,-3.237179,6.444326,0.000000,-3.279182,3.414570,-0.476208,0.000000
21.810000,-3.270349,6.453726,0.000000,-3.294532,3.439084,-0.477466,0.000000
21.820000,-3.303611,6.463685,0.000000,-3.299208,3.398201,-0.469790,0.000000
21.830000,-3.336434,6.473658,0.000000,-3.314791,3.423047,-0.470973,0.000000
21.840000,-3.369341,6.484197,0.000000,-3.319702,3.382733,-0.471143,0.000000
21.850000,-3.401798,6.494827,0.000000,-3.335051,3.407911,-0.473707,0.000000
21.860000,-3.434331,6.506027,0.000000,-3.339729,3.368149,-0.465659,0.000000
21.870000,-3.466437,6.517223,0.000000,-3.355295,3.393626,-0.468127,0.000000
21.880000,-3.498608,6.528995,0.000000,-3.360193,3.354404,-0.468230,0.000000
21.890000,-3.530339,6.540840,0.000000,-3.375498,3.380181,-0.472100,0.000000
21.900000,-3.562126,6.553267,0.000000,-3.380136,3.341450,-0.463280,0.000000
21.910000,-3.593499,6.565664,0.000000,-3.395675,3.367474,-0.466917,0.000000
21.920000,-3.624919,6.578648,0.000000,-3.400548,3.329208,-0.465783,0.000000
21.930000,-3.655909,6.591675,0.000000,-3.415865,3.355436,-0.470569,0.000000
21.940000,-3.686934,6.605293,0.000000,-3.420518,3.317452,-0.461278,0.000000
21.950000,-3.717557,6.618861,0.000000,-3.436067,3.343819,-0.465681,0.000000
21.960000,-3.748204,6.633023,0.000000,-3.440954,3.306109,-0.464973,0.000000
21.970000,-3.778423,6.647216,0.000000,-3.456241,3.332601,-0.470547,0.000000
21.980000,-3.808657,6.662004,0.000000,-3.460867,3.295070,-0.461096,0.000000
21.990000,-3.838495,6.676724,0.000000,-3.476387,3.321671,-0.466229,0.000000
22.000000,-3.868336,6.692042,0.000000,-3.481247,3.284389,-0.463566,0.000000
22.010000,-3.897759,6.707355,0.000000,-3.496599,3.311100,-0.469546,0.000000
22.020000,-3.927173,6.723267,0.000000,-3.501291,3.273998,-0.460270,0.000000
22.030000,-3.956198,6.739099,0.000000,-3.516842,3.300817,-0.465900,0.000000
22.040000,-3.985201,6.755532,0.000000,-3.521734,3.263963,-0.463955,0.000000
22.050000,-4.013789,6.771951,0.000000,-3.537059,3.290890,-0.470603,0.000000
22.060000,-4.042345,6.788972,0.000000,-3.541728,3.254194,-0.460521,0.000000
22.070000,-4.070523,6.805890,0.000000,-3.557285,3.281230,-0.466696,0.000000
22.080000,-4.098656,6.823410,0.000000,-3.562188,3.244803,-0.463998,0.000000
22.090000,-4.126382,6.840894,0.000000,-3.577543,3.271947,-0.471106,0.000000
22.100000,-4.154051,6.858981,0.000000,-3.582244,3.235673,-0.460644,0.000000
22.110000,-4.181353,6.876948,0.000000,-3.597831,3.262927,-0.467265,0.000000
22.120000,-4.208586,6.895519,0.000000,-3.602766,3.226929,-0.464790,0.000000
22.130000,-4.235416,6.914041,0.000000,-3.618118,3.254287,-0.472439,0.000000
