time,throttle,steering
6.130000,0.203057,1.000000
6.140000,0.205050,1.000000
6.150000,0.205181,1.000000
6.160000,0.207160,1.000000
6.170000,0.207340,1.000000
6.180000,0.209305,1.000000
6.190000,0.209536,1.000000
6.200000,0.211488,1.000000
6.210000,0.211769,1.000000
6.220000,0.213708,1.000000
6.230000,0.214040,1.000000
6.240000,0.215968,1.000000
6.250000,0.216352,1.000000
6.260000,0.218267,1.000000
6.270000,0.218704,1.000000
6.280000,0.220607,1.000000
6.290000,0.221098,1.000000
6.300000,0.222990,1.000000
6.310000,0.223534,1.000000
6.320000,0.225416,1.000000
6.330000,0.226016,1.000000
6.340000,0.227886,1.000000
6.350000,0.228542,1.000000
6.360000,0.230403,1.000000
6.370000,0.231115,1.000000
6.380000,0.232967,1.000000
6.390000,0.233737,1.000000
6.400000,0.235579,1.000000
6.410000,0.224272,1.000000
6.420000,0.238252,1.000000
6.430000,0.227460,1.000000
6.440000,0.240991,1.000000
6.450000,0.230725,1.000000
6.460000,0.243792,1.000000
6.470000,0.234066,1.000000
6.480000,0.235940,1.000000
6.490000,0.237489,1.000000
6.500000,0.239366,1.000000
6.510000,0.241000,1.000000
6.520000,0.242876,1.000000
6.530000,0.244594,1.000000
6.540000,0.246469,1.000000
6.550000,0.248272,1.000000
6.560000,0.250143,1.000000
6.570000,0.252031,1.000000
6.580000,0.253899,1.000000
6.590000,0.255874,1.000000
6.600000,0.257739,1.000000
6.610000,0.259802,1.000000
6.620000,0.261664,1.000000
6.630000,0.263817,1.000000
6.640000,0.265676,1.000000
6.650000,0.267921,1.000000
6.660000,0.269778,1.000000
6.670000,0.272117,1.000000
6.680000,0.273973,1.000000
6.690000,0.276408,1.000000
6.700000,0.278264,1.000000
6.710000,0.280798,1.000000
6.720000,0.282654,1.000000
6.730000,0.285290,1.000000
6.740000,0.287148,1.000000
6.750000,0.289888,1.000000
6.760000,0.291750,1.000000
6.770000,0.294596,1.000000
6.780000,0.296462,1.000000
6.790000,0.299419,1.000000
6.800000,0.301291,1.000000
6.810000,0.304361,1.000000
6.820000,0.306240,1.000000
6.830000,0.309427,1.000000
6.840000,0.311315,1.000000
6.850000,0.314622,1.000000
6.860000,0.316520,1.000000
6.870000,0.319951,1.000000
